epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0603,0.4897,0.0491,0.5972,15.8
1,0.0417,0.6858,0.0604,0.5382,14.9
2,0.0350,0.7226,0.0359,0.7674,15.0
3,0.0297,0.7902,0.0332,0.7188,15.0
4,0.0241,0.8664,0.0248,0.8507,15.0
5,0.0188,0.9050,0.0220,0.8785,15.0
6,0.0160,0.9435,0.0189,0.9340,15.9
7,0.0127,0.9623,0.0299,0.8090,15.0
8,0.0122,0.9666,0.0179,0.9340,15.1
9,0.0098,0.9743,0.0184,0.9062,15.1
10,0.0085,0.9820,0.0155,0.9236,15.1
11,0.0076,0.9854,0.0152,0.9201,15.2
12,0.0075,0.9889,0.0185,0.8993,15.2
13,0.0067,0.9897,0.0152,0.9340,15.2
14,0.0070,0.9906,0.0172,0.9132,15.2
15,0.0062,0.9923,0.0131,0.9271,15.2
16,0.0050,0.9940,0.0130,0.9514,15.3
17,0.0058,0.9923,0.0133,0.9549,15.3
18,0.0049,0.9966,0.0137,0.9444,15.3
19,0.0043,0.9949,0.0122,0.9375,15.2
20,0.0044,0.9957,0.0141,0.9618,15.2
21,0.0038,0.9974,0.0100,0.9583,15.3
22,0.0035,0.9974,0.0126,0.9410,15.4
23,0.0033,0.9983,0.0098,0.9653,15.3
24,0.0029,0.9966,0.0167,0.9062,15.2
25,0.0032,0.9983,0.0098,0.9583,15.2
26,0.0026,0.9983,0.0098,0.9514,15.2
27,0.0024,0.9974,0.0135,0.9271,15.3
28,0.0025,0.9983,0.0107,0.9549,15.3
29,0.0021,0.9991,0.0098,0.9514,15.3
30,0.0024,0.9983,0.0135,0.9444,15.4
31,0.0025,0.9983,0.0089,0.9583,15.3
32,0.0021,0.9991,0.0101,0.9549,15.3
33,0.0017,0.9991,0.0099,0.9583,15.3
34,0.0016,0.9991,0.0093,0.9549,15.3
35,0.0016,0.9991,0.0096,0.9549,15.3
36,0.0017,0.9991,0.0098,0.9549,15.3
37,0.0015,0.9991,0.0089,0.9514,15.4
38,0.0014,0.9991,0.0097,0.9583,15.4
39,0.0014,0.9991,0.0092,0.9583,15.3
40,0.0013,1.0000,0.0090,0.9618,15.3
41,0.0012,0.9991,0.0100,0.9618,15.3
42,0.0012,1.0000,0.0093,0.9653,15.4
43,0.0011,1.0000,0.0094,0.9583,15.3
44,0.0010,0.9991,0.0088,0.9618,15.3
45,0.0011,1.0000,0.0090,0.9618,15.2
46,0.0010,1.0000,0.0088,0.9688,15.2
47,0.0009,1.0000,0.0088,0.9618,15.2
48,0.0009,1.0000,0.0088,0.9618,15.2
49,0.0009,1.0000,0.0087,0.9618,15.2
50,0.0009,1.0000,0.0090,0.9618,15.1
51,0.0008,1.0000,0.0089,0.9688,15.2
52,0.0009,0.9991,0.0088,0.9618,15.3
53,0.0008,1.0000,0.0089,0.9618,15.3
54,0.0008,1.0000,0.0088,0.9653,15.3
55,0.0008,1.0000,0.0089,0.9618,15.3
56,0.0008,1.0000,0.0089,0.9618,15.2
57,0.0007,1.0000,0.0087,0.9618,15.3
58,0.0007,1.0000,0.0088,0.9618,15.3
59,0.0007,1.0000,0.0089,0.9618,15.3
60,0.0007,1.0000,0.0088,0.9618,15.3
61,0.0007,0.9991,0.0089,0.9618,15.3
62,0.0007,1.0000,0.0088,0.9618,15.3
63,0.0008,1.0000,0.0088,0.9618,15.3
