epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0673,0.3938,0.0488,0.6493,65.1
1,0.0447,0.6464,0.0398,0.6806,54.5
2,0.0299,0.7842,0.0387,0.6632,65.5
3,0.0242,0.8587,0.0362,0.7222,54.3
4,0.0342,0.7192,0.0367,0.6806,54.4
5,0.0307,0.7637,0.0347,0.7257,54.4
6,0.0275,0.7988,0.0335,0.7500,54.4
7,0.0247,0.8168,0.0316,0.7292,54.4
8,0.0236,0.8176,0.0285,0.7778,54.4
9,0.0210,0.8545,0.0232,0.8333,54.4
10,0.0206,0.8485,0.0224,0.8750,54.3
11,0.0183,0.8759,0.0265,0.8021,54.4
12,0.0187,0.8707,0.0227,0.8299,54.3
13,0.0185,0.8690,0.0228,0.8542,54.4
14,0.0151,0.9152,0.0217,0.8368,54.5
15,0.0144,0.9067,0.0168,0.8924,54.4
16,0.0129,0.9264,0.0191,0.8403,54.4
17,0.0116,0.9358,0.0177,0.8750,54.4
18,0.0113,0.9409,0.0197,0.8646,54.3
19,0.0096,0.9512,0.0182,0.8715,54.4
20,0.0099,0.9461,0.0247,0.8056,54.5
21,0.0090,0.9486,0.0288,0.7812,54.4
22,0.0078,0.9632,0.0146,0.9201,54.3
23,0.0074,0.9709,0.0145,0.8958,54.5
24,0.0061,0.9769,0.0165,0.8993,54.4
25,0.0053,0.9854,0.0169,0.8785,54.4
26,0.0057,0.9812,0.0131,0.9028,54.4
27,0.0050,0.9837,0.0141,0.9167,54.4
28,0.0044,0.9872,0.0111,0.9375,54.5
29,0.0037,0.9889,0.0117,0.9271,54.5
30,0.0035,0.9906,0.0120,0.9306,54.3
31,0.0031,0.9923,0.0126,0.9306,54.4
32,0.0030,0.9923,0.0105,0.9271,54.4
33,0.0029,0.9966,0.0115,0.9271,54.4
34,0.0029,0.9940,0.0123,0.9236,54.4
35,0.0025,0.9949,0.0101,0.9375,54.3
36,0.0025,0.9940,0.0132,0.9167,54.4
37,0.0020,0.9991,0.0135,0.9167,54.5
38,0.0020,0.9983,0.0105,0.9375,54.4
39,0.0017,0.9991,0.0113,0.9236,54.3
40,0.0016,0.9991,0.0111,0.9340,54.3
41,0.0017,0.9983,0.0120,0.9236,54.5
42,0.0017,0.9983,0.0121,0.9236,54.6
43,0.0014,0.9974,0.0102,0.9340,54.3
44,0.0012,0.9991,0.0108,0.9236,54.3
45,0.0012,0.9991,0.0105,0.9306,54.3
46,0.0012,0.9991,0.0103,0.9271,54.3
47,0.0013,0.9991,0.0105,0.9271,54.4
48,0.0012,0.9991,0.0106,0.9306,54.4
49,0.0011,0.9991,0.0109,0.9236,54.4
50,0.0011,0.9991,0.0101,0.9306,54.4
51,0.0011,0.9991,0.0105,0.9306,54.4
52,0.0012,0.9991,0.0100,0.9375,54.4
53,0.0011,0.9991,0.0105,0.9306,54.7
54,0.0010,1.0000,0.0098,0.9410,54.3
55,0.0010,1.0000,0.0097,0.9271,54.4
56,0.0008,0.9991,0.0097,0.9306,54.4
57,0.0010,0.9991,0.0096,0.9306,54.3
58,0.0009,0.9991,0.0095,0.9306,54.4
59,0.0009,0.9991,0.0096,0.9271,54.2
60,0.0009,0.9991,0.0092,0.9410,54.4
61,0.0009,0.9991,0.0097,0.9306,54.6
62,0.0009,0.9991,0.0096,0.9340,54.4
63,0.0010,0.9991,0.0097,0.9306,54.4
