epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0607,0.4795,0.0603,0.5104,15.7
1,0.0419,0.6712,0.0469,0.6528,14.9
2,0.0344,0.7372,0.0396,0.7049,15.0
3,0.0297,0.7791,0.0357,0.7396,15.0
4,0.0274,0.8245,0.0400,0.7153,15.0
5,0.0218,0.8861,0.0296,0.8125,15.0
6,0.0195,0.8964,0.0618,0.5694,15.0
7,0.0162,0.9324,0.0231,0.8611,14.9
8,0.0127,0.9555,0.0436,0.6979,15.1
9,0.0109,0.9700,0.0250,0.8854,15.0
10,0.0113,0.9675,0.0309,0.8125,15.0
11,0.0100,0.9717,0.0241,0.8438,15.0
12,0.0083,0.9829,0.0165,0.9306,15.0
13,0.0071,0.9880,0.0151,0.9444,15.0
14,0.0069,0.9897,0.0153,0.9132,15.0
15,0.0062,0.9880,0.0187,0.9097,15.1
16,0.0057,0.9940,0.0119,0.9514,15.1
17,0.0057,0.9940,0.0119,0.9306,15.1
18,0.0053,0.9949,0.0124,0.9583,15.1
19,0.0048,0.9966,0.0136,0.9375,15.2
20,0.0041,0.9966,0.0112,0.9340,15.1
21,0.0038,0.9983,0.0135,0.9444,15.1
22,0.0036,0.9983,0.0114,0.9583,15.0
23,0.0036,0.9974,0.0098,0.9549,15.1
24,0.0031,0.9974,0.0109,0.9479,15.1
25,0.0032,0.9983,0.0120,0.9410,15.1
26,0.0027,0.9974,0.0107,0.9549,15.1
27,0.0030,0.9983,0.0130,0.9271,15.2
28,0.0028,0.9983,0.0105,0.9410,15.0
29,0.0023,0.9983,0.0110,0.9514,15.1
30,0.0023,0.9983,0.0138,0.9479,15.1
31,0.0022,0.9983,0.0097,0.9514,15.1
32,0.0021,0.9983,0.0108,0.9479,15.1
33,0.0018,0.9983,0.0116,0.9479,15.1
34,0.0019,0.9983,0.0094,0.9583,15.1
35,0.0018,0.9983,0.0097,0.9479,15.1
36,0.0016,0.9983,0.0100,0.9479,15.1
37,0.0016,0.9983,0.0094,0.9549,15.1
38,0.0016,0.9983,0.0094,0.9549,15.1
39,0.0015,0.9983,0.0098,0.9514,15.0
40,0.0014,0.9983,0.0092,0.9583,15.1
41,0.0012,0.9991,0.0098,0.9549,15.2
42,0.0012,0.9983,0.0099,0.9514,15.3
43,0.0011,0.9991,0.0094,0.9583,15.5
44,0.0012,0.9991,0.0093,0.9583,15.3
45,0.0011,0.9991,0.0097,0.9549,15.5
46,0.0010,0.9991,0.0100,0.9514,15.3
47,0.0011,0.9983,0.0097,0.9549,15.4
48,0.0010,0.9991,0.0094,0.9514,15.5
49,0.0009,0.9991,0.0095,0.9514,15.3
50,0.0010,0.9991,0.0096,0.9549,15.2
51,0.0009,0.9991,0.0092,0.9514,15.4
52,0.0010,0.9991,0.0093,0.9618,15.3
53,0.0009,0.9991,0.0095,0.9514,15.1
54,0.0009,0.9991,0.0096,0.9514,15.2
55,0.0009,1.0000,0.0094,0.9514,15.1
56,0.0009,0.9991,0.0093,0.9583,15.2
57,0.0008,0.9991,0.0093,0.9514,15.3
58,0.0008,0.9991,0.0093,0.9514,15.2
59,0.0008,0.9991,0.0092,0.9514,15.3
60,0.0008,0.9991,0.0093,0.9514,15.3
61,0.0008,0.9991,0.0093,0.9514,15.3
62,0.0008,0.9991,0.0093,0.9514,15.4
63,0.0008,1.0000,0.0093,0.9514,15.1
