epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0661,0.4135,0.0495,0.6111,66.1
1,0.0442,0.6336,0.0475,0.5833,55.2
2,0.0381,0.6832,0.0374,0.7049,55.1
3,0.0343,0.7217,0.0345,0.7014,55.0
4,0.0324,0.7466,0.0375,0.6875,55.1
5,0.0309,0.7380,0.0555,0.5451,55.4
6,0.0272,0.7808,0.0361,0.6840,55.6
7,0.0260,0.7834,0.0314,0.7396,55.6
8,0.0240,0.8057,0.0396,0.6562,55.1
9,0.0222,0.8253,0.0268,0.7778,55.1
10,0.0208,0.8450,0.0298,0.7535,54.8
11,0.0210,0.8390,0.0277,0.7917,54.8
12,0.0191,0.8733,0.0359,0.7188,54.7
13,0.0182,0.8784,0.0235,0.8160,55.4
14,0.0175,0.8801,0.0259,0.8056,55.2
15,0.0154,0.9058,0.0465,0.6215,55.4
16,0.0141,0.9152,0.0251,0.8056,55.5
17,0.0139,0.9118,0.0215,0.8333,55.1
18,0.0132,0.9212,0.0184,0.8854,55.3
19,0.0112,0.9452,0.0233,0.8090,54.8
20,0.0105,0.9529,0.0238,0.8264,54.9
21,0.0093,0.9538,0.0155,0.8993,54.9
22,0.0083,0.9640,0.0171,0.8889,55.4
23,0.0070,0.9777,0.0182,0.8785,55.3
24,0.0074,0.9615,0.0208,0.8646,55.6
25,0.0069,0.9700,0.0172,0.8785,55.3
26,0.0056,0.9786,0.0159,0.8785,55.0
27,0.0054,0.9803,0.0151,0.9062,55.1
28,0.0050,0.9837,0.0143,0.9028,54.9
29,0.0050,0.9820,0.0173,0.8715,55.0
30,0.0039,0.9906,0.0136,0.9167,54.8
31,0.0046,0.9863,0.0146,0.8993,55.3
32,0.0038,0.9914,0.0134,0.8958,55.3
33,0.0034,0.9906,0.0142,0.9167,55.5
34,0.0026,0.9957,0.0137,0.9062,55.1
35,0.0028,0.9949,0.0150,0.8924,55.1
36,0.0024,0.9974,0.0115,0.9306,54.9
37,0.0022,0.9966,0.0114,0.9306,54.8
38,0.0021,0.9974,0.0117,0.9167,55.0
39,0.0023,0.9923,0.0149,0.8924,54.9
40,0.0020,0.9957,0.0134,0.9201,55.8
41,0.0018,0.9974,0.0099,0.9306,55.8
42,0.0020,0.9983,0.0136,0.9028,55.4
43,0.0016,0.9991,0.0115,0.9097,55.1
44,0.0015,0.9991,0.0112,0.9236,55.2
45,0.0014,0.9983,0.0111,0.9271,54.9
46,0.0015,0.9983,0.0118,0.9236,55.1
47,0.0014,0.9991,0.0111,0.9236,55.1
48,0.0015,0.9974,0.0117,0.9340,55.3
49,0.0012,0.9991,0.0108,0.9201,55.2
50,0.0012,0.9991,0.0108,0.9306,55.5
51,0.0013,0.9991,0.0119,0.9167,55.3
52,0.0013,0.9983,0.0113,0.9271,55.1
53,0.0012,0.9991,0.0111,0.9132,54.9
54,0.0011,0.9991,0.0113,0.9271,54.9
55,0.0011,0.9991,0.0106,0.9201,54.8
56,0.0011,0.9991,0.0110,0.9271,55.4
57,0.0011,0.9991,0.0109,0.9340,55.2
58,0.0011,0.9991,0.0112,0.9167,56.4
59,0.0011,0.9991,0.0105,0.9236,55.3
60,0.0011,0.9991,0.0107,0.9201,55.0
61,0.0011,0.9991,0.0106,0.9306,55.0
62,0.0010,0.9991,0.0107,0.9236,55.1
63,0.0011,0.9991,0.0106,0.9236,55.0
