epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0753,0.2860,0.0639,0.4201,61.1
1,0.0555,0.5111,0.0518,0.5868,52.6
2,0.0464,0.6190,0.0497,0.6285,52.6
3,0.0406,0.6712,0.0472,0.6007,52.7
4,0.0373,0.7243,0.0394,0.6840,52.7
5,0.0339,0.7509,0.0355,0.7188,52.7
6,0.0312,0.7509,0.0334,0.7257,52.7
7,0.0291,0.7868,0.0362,0.7639,52.7
8,0.0269,0.8228,0.0289,0.7812,52.7
9,0.0259,0.8108,0.0301,0.7778,52.8
10,0.0247,0.8091,0.0277,0.7847,52.8
11,0.0235,0.8236,0.0273,0.7778,52.8
12,0.0232,0.8202,0.0285,0.7708,52.7
13,0.0213,0.8467,0.0297,0.7500,52.7
14,0.0215,0.8442,0.0254,0.8125,52.8
15,0.0194,0.8656,0.0239,0.8194,52.8
16,0.0186,0.8887,0.0271,0.7882,52.8
17,0.0180,0.8818,0.0257,0.8229,52.8
18,0.0173,0.8878,0.0237,0.8299,52.8
19,0.0164,0.9050,0.0225,0.8368,52.8
20,0.0154,0.9187,0.0232,0.8507,52.7
21,0.0152,0.9118,0.0259,0.7917,52.7
22,0.0142,0.9152,0.0243,0.8125,52.7
23,0.0133,0.9349,0.0214,0.8299,52.7
24,0.0122,0.9384,0.0200,0.8646,52.7
25,0.0111,0.9538,0.0224,0.8368,52.8
26,0.0114,0.9392,0.0209,0.8472,52.8
27,0.0100,0.9580,0.0214,0.8403,52.7
28,0.0098,0.9615,0.0207,0.8576,52.8
29,0.0082,0.9752,0.0195,0.8472,52.7
30,0.0083,0.9769,0.0204,0.8472,52.7
31,0.0074,0.9846,0.0226,0.8194,52.8
32,0.0073,0.9777,0.0194,0.8611,52.8
33,0.0063,0.9863,0.0196,0.8611,52.9
34,0.0067,0.9777,0.0212,0.8507,52.9
35,0.0060,0.9906,0.0174,0.8854,52.8
36,0.0058,0.9914,0.0197,0.8611,52.8
37,0.0053,0.9906,0.0190,0.8507,52.9
38,0.0052,0.9949,0.0203,0.8576,52.8
39,0.0051,0.9949,0.0196,0.8507,52.9
40,0.0046,0.9974,0.0189,0.8681,54.0
41,0.0044,0.9966,0.0194,0.8507,53.8
42,0.0044,0.9949,0.0178,0.8681,52.9
43,0.0040,0.9940,0.0177,0.8819,52.8
44,0.0042,0.9957,0.0181,0.8715,52.8
45,0.0036,0.9966,0.0204,0.8611,52.7
46,0.0034,0.9991,0.0177,0.8819,52.8
47,0.0033,0.9983,0.0197,0.8646,52.8
48,0.0038,0.9966,0.0169,0.8750,52.9
49,0.0033,0.9991,0.0172,0.8715,52.8
50,0.0033,0.9983,0.0178,0.8611,52.9
51,0.0033,0.9983,0.0181,0.8646,52.8
52,0.0031,0.9991,0.0181,0.8681,52.8
53,0.0033,0.9974,0.0193,0.8611,52.8
54,0.0030,0.9991,0.0173,0.8819,52.8
55,0.0029,0.9991,0.0177,0.8681,52.8
56,0.0030,0.9991,0.0177,0.8819,52.8
57,0.0029,0.9991,0.0162,0.8819,52.8
58,0.0030,0.9983,0.0172,0.8750,52.8
59,0.0028,0.9991,0.0176,0.8681,52.9
60,0.0029,0.9991,0.0173,0.8924,53.0
61,0.0029,0.9991,0.0172,0.8715,52.8
62,0.0028,0.9991,0.0176,0.8785,52.8
63,0.0030,0.9991,0.0177,0.8715,52.9
