epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0822,0.2810,0.0796,0.3290,420.9
1,0.0717,0.4215,0.0758,0.3830,394.0
2,0.0643,0.5036,0.0644,0.4990,394.2
3,0.0595,0.5468,0.0582,0.5520,394.0
4,0.0551,0.5861,0.0529,0.6110,394.1
5,0.0513,0.6266,0.0522,0.6010,393.8
6,0.0482,0.6518,0.0542,0.5960,394.0
7,0.0455,0.6735,0.0511,0.6180,394.2
8,0.0424,0.7044,0.0488,0.6410,394.1
9,0.0409,0.7149,0.0474,0.6660,396.3
10,0.0393,0.7311,0.0471,0.6520,397.0
11,0.0367,0.7528,0.0448,0.6710,394.3
12,0.0358,0.7629,0.0470,0.6600,394.0
13,0.0346,0.7677,0.0469,0.6620,394.1
14,0.0324,0.7903,0.0451,0.6690,394.1
15,0.0313,0.7994,0.0440,0.6850,393.9
16,0.0296,0.8108,0.0462,0.6690,394.2
17,0.0294,0.8149,0.0451,0.6760,394.2
18,0.0278,0.8267,0.0438,0.6840,394.3
19,0.0271,0.8334,0.0433,0.6810,394.3
20,0.0261,0.8442,0.0421,0.7010,394.5
21,0.0256,0.8432,0.0436,0.6820,394.1
22,0.0240,0.8574,0.0429,0.7040,394.1
23,0.0235,0.8610,0.0432,0.6990,394.0
24,0.0224,0.8726,0.0419,0.6960,394.2
25,0.0224,0.8752,0.0419,0.7120,394.1
26,0.0213,0.8816,0.0422,0.7170,394.0
27,0.0204,0.8870,0.0430,0.6950,394.0
28,0.0203,0.8875,0.0420,0.7080,397.6
29,0.0192,0.8984,0.0425,0.7050,397.3
30,0.0183,0.9073,0.0429,0.6940,394.4
31,0.0182,0.9055,0.0429,0.6980,394.3
32,0.0176,0.9104,0.0425,0.7010,394.3
33,0.0174,0.9116,0.0405,0.7180,394.3
34,0.0165,0.9194,0.0403,0.7210,394.2
35,0.0167,0.9181,0.0410,0.7150,394.2
36,0.0155,0.9268,0.0414,0.7000,394.8
37,0.0158,0.9252,0.0403,0.7060,397.2
38,0.0150,0.9307,0.0420,0.7100,395.6
39,0.0151,0.9300,0.0406,0.7070,396.6
40,0.0144,0.9364,0.0418,0.7000,396.6
41,0.0137,0.9428,0.0402,0.7150,395.4
42,0.0139,0.9381,0.0416,0.7040,394.9
43,0.0135,0.9429,0.0412,0.7100,395.7
44,0.0131,0.9461,0.0413,0.7060,395.2
45,0.0127,0.9467,0.0413,0.7110,394.9
46,0.0128,0.9474,0.0402,0.7210,394.4
47,0.0126,0.9506,0.0409,0.7210,394.2
48,0.0122,0.9535,0.0400,0.7180,394.1
49,0.0120,0.9528,0.0402,0.7130,394.3
50,0.0117,0.9576,0.0403,0.7270,394.3
51,0.0118,0.9555,0.0397,0.7190,394.2
52,0.0119,0.9563,0.0404,0.7140,394.3
53,0.0118,0.9556,0.0396,0.7190,395.4
54,0.0113,0.9593,0.0397,0.7130,394.9
55,0.0115,0.9593,0.0396,0.7150,394.8
56,0.0114,0.9557,0.0403,0.7140,395.9
57,0.0110,0.9617,0.0392,0.7270,397.9
58,0.0111,0.9595,0.0400,0.7240,394.4
59,0.0111,0.9629,0.0393,0.7240,394.2
60,0.0111,0.9609,0.0403,0.7130,394.2
61,0.0109,0.9617,0.0400,0.7160,394.2
62,0.0109,0.9616,0.0396,0.7320,394.0
63,0.0107,0.9639,0.0394,0.7210,395.3
