epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0807,0.3124,0.0795,0.3580,110.6
1,0.0674,0.4681,0.0727,0.4480,106.5
2,0.0591,0.5637,0.0654,0.5000,106.8
3,0.0538,0.6155,0.0561,0.5990,107.0
4,0.0495,0.6584,0.0559,0.5790,107.0
5,0.0457,0.6957,0.0506,0.6460,106.9
6,0.0422,0.7276,0.0538,0.6370,106.9
7,0.0394,0.7506,0.0478,0.6820,106.9
8,0.0364,0.7840,0.0475,0.6760,107.1
9,0.0338,0.8115,0.0474,0.6890,107.3
10,0.0315,0.8306,0.0477,0.6680,107.0
11,0.0294,0.8466,0.0475,0.6780,107.1
12,0.0270,0.8684,0.0452,0.6970,107.0
13,0.0254,0.8833,0.0445,0.6960,106.9
14,0.0235,0.9015,0.0454,0.6990,107.1
15,0.0213,0.9218,0.0451,0.6900,107.0
16,0.0199,0.9287,0.0444,0.7150,107.1
17,0.0185,0.9407,0.0467,0.6980,107.3
18,0.0173,0.9486,0.0436,0.7190,107.3
19,0.0159,0.9564,0.0441,0.7140,107.1
20,0.0148,0.9641,0.0442,0.7200,107.2
21,0.0141,0.9689,0.0454,0.7040,107.1
22,0.0131,0.9719,0.0434,0.7160,107.3
23,0.0122,0.9789,0.0433,0.7210,107.3
24,0.0113,0.9812,0.0453,0.6990,107.2
25,0.0108,0.9845,0.0436,0.7080,107.1
26,0.0100,0.9860,0.0435,0.7200,107.3
27,0.0094,0.9874,0.0438,0.7130,107.3
28,0.0090,0.9898,0.0436,0.7190,107.6
29,0.0085,0.9897,0.0449,0.7100,107.3
30,0.0080,0.9918,0.0423,0.7160,107.0
31,0.0079,0.9921,0.0434,0.7190,107.0
32,0.0075,0.9922,0.0430,0.7160,107.3
33,0.0071,0.9929,0.0432,0.7270,107.2
34,0.0067,0.9935,0.0433,0.7200,107.6
35,0.0065,0.9949,0.0432,0.7140,107.8
36,0.0062,0.9946,0.0426,0.7210,107.1
37,0.0060,0.9953,0.0439,0.7210,106.9
38,0.0057,0.9958,0.0432,0.7280,106.8
39,0.0055,0.9957,0.0446,0.7210,106.8
40,0.0052,0.9964,0.0431,0.7240,106.8
41,0.0051,0.9960,0.0434,0.7250,106.9
42,0.0050,0.9962,0.0433,0.7160,106.8
43,0.0048,0.9964,0.0429,0.7240,106.9
44,0.0046,0.9969,0.0436,0.7280,106.8
45,0.0044,0.9969,0.0432,0.7210,106.8
46,0.0044,0.9967,0.0432,0.7320,106.8
47,0.0044,0.9970,0.0429,0.7340,106.9
48,0.0041,0.9971,0.0434,0.7250,106.9
49,0.0041,0.9974,0.0432,0.7300,106.5
50,0.0039,0.9978,0.0435,0.7250,106.8
51,0.0039,0.9976,0.0432,0.7230,106.8
52,0.0038,0.9977,0.0435,0.7240,106.8
53,0.0038,0.9977,0.0434,0.7270,106.8
54,0.0036,0.9976,0.0434,0.7290,106.8
55,0.0035,0.9976,0.0434,0.7290,106.9
56,0.0035,0.9978,0.0437,0.7300,106.8
57,0.0035,0.9980,0.0434,0.7240,106.8
58,0.0035,0.9977,0.0435,0.7260,106.7
59,0.0034,0.9978,0.0436,0.7220,107.0
60,0.0034,0.9977,0.0435,0.7280,106.8
61,0.0034,0.9977,0.0434,0.7280,106.8
62,0.0034,0.9978,0.0435,0.7280,106.8
63,0.0034,0.9976,0.0435,0.7280,106.8
