epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0815,0.3003,0.0763,0.3680,443.5
1,0.0703,0.4412,0.0647,0.4960,401.6
2,0.0626,0.5190,0.0610,0.5300,401.7
3,0.0572,0.5726,0.0585,0.5540,403.5
4,0.0531,0.6157,0.0510,0.6200,403.2
5,0.0495,0.6395,0.0513,0.6190,401.6
6,0.0467,0.6607,0.0515,0.6100,402.1
7,0.0442,0.6889,0.0509,0.6230,401.9
8,0.0426,0.7024,0.0491,0.6420,401.9
9,0.0402,0.7235,0.0485,0.6490,401.9
10,0.0384,0.7358,0.0475,0.6470,407.4
11,0.0374,0.7450,0.0498,0.6480,401.8
12,0.0354,0.7629,0.0462,0.6730,403.8
13,0.0339,0.7748,0.0438,0.6830,412.0
14,0.0322,0.7914,0.0421,0.6890,410.0
15,0.0306,0.8087,0.0465,0.6690,404.7
16,0.0295,0.8152,0.0451,0.6810,402.6
17,0.0288,0.8204,0.0442,0.6830,402.0
18,0.0279,0.8307,0.0431,0.6930,404.7
19,0.0268,0.8334,0.0443,0.6770,403.8
20,0.0262,0.8405,0.0454,0.6750,405.2
21,0.0255,0.8460,0.0434,0.6820,403.2
22,0.0245,0.8506,0.0440,0.6880,401.6
23,0.0237,0.8612,0.0414,0.7080,401.9
24,0.0223,0.8746,0.0420,0.7020,401.7
25,0.0218,0.8786,0.0438,0.6880,401.6
26,0.0214,0.8780,0.0437,0.6880,402.9
27,0.0210,0.8828,0.0413,0.7030,401.6
28,0.0200,0.8912,0.0417,0.7140,401.8
29,0.0192,0.8991,0.0430,0.6970,401.7
30,0.0189,0.9002,0.0423,0.7110,401.5
31,0.0186,0.9026,0.0425,0.7100,401.9
32,0.0184,0.9019,0.0433,0.6960,401.8
33,0.0176,0.9088,0.0422,0.7020,401.5
34,0.0169,0.9163,0.0409,0.7120,401.5
35,0.0166,0.9179,0.0410,0.7260,401.7
36,0.0160,0.9242,0.0417,0.7060,401.9
37,0.0159,0.9243,0.0420,0.7130,402.9
38,0.0153,0.9296,0.0411,0.7160,401.8
39,0.0152,0.9309,0.0421,0.6990,401.8
40,0.0146,0.9363,0.0409,0.7280,401.5
41,0.0144,0.9362,0.0427,0.6910,403.7
42,0.0141,0.9376,0.0410,0.7290,401.4
43,0.0139,0.9391,0.0408,0.7200,401.6
44,0.0136,0.9411,0.0404,0.7120,401.5
45,0.0130,0.9470,0.0399,0.7300,402.0
46,0.0128,0.9477,0.0406,0.7210,402.3
47,0.0128,0.9483,0.0397,0.7290,405.9
48,0.0125,0.9502,0.0402,0.7300,401.9
49,0.0126,0.9466,0.0393,0.7300,405.4
50,0.0124,0.9527,0.0407,0.7170,406.3
51,0.0123,0.9507,0.0401,0.7180,406.0
52,0.0120,0.9550,0.0397,0.7190,404.5
53,0.0117,0.9570,0.0397,0.7170,407.9
54,0.0118,0.9564,0.0395,0.7300,405.9
55,0.0118,0.9586,0.0391,0.7300,408.0
56,0.0112,0.9599,0.0404,0.7190,407.2
57,0.0117,0.9570,0.0392,0.7250,402.1
58,0.0114,0.9570,0.0404,0.7280,403.8
59,0.0110,0.9622,0.0399,0.7280,405.5
60,0.0113,0.9594,0.0388,0.7290,403.8
61,0.0114,0.9600,0.0396,0.7200,403.0
62,0.0112,0.9606,0.0393,0.7240,403.0
63,0.0114,0.9582,0.0391,0.7310,401.9
