epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0660,0.4187,0.0507,0.5799,93.8
1,0.0463,0.6062,0.0370,0.6632,52.7
2,0.0385,0.6533,0.0428,0.6528,52.8
3,0.0354,0.6789,0.0399,0.6701,52.9
4,0.0328,0.7149,0.0346,0.7361,52.9
5,0.0290,0.7414,0.0387,0.7257,52.8
6,0.0275,0.7774,0.0325,0.7639,52.9
7,0.0250,0.7783,0.0318,0.7326,52.9
8,0.0247,0.7885,0.0294,0.7396,52.9
9,0.0235,0.7911,0.0326,0.7396,52.9
10,0.0223,0.8168,0.0301,0.7951,52.9
11,0.0204,0.8365,0.0301,0.7500,52.9
12,0.0206,0.8219,0.0303,0.7708,52.9
13,0.0198,0.8502,0.0287,0.7882,53.0
14,0.0191,0.8579,0.0269,0.8229,53.0
15,0.0184,0.8639,0.0256,0.8090,52.9
16,0.0177,0.8767,0.0210,0.8750,52.9
17,0.0142,0.9170,0.0193,0.9132,52.9
18,0.0120,0.9409,0.0207,0.8681,52.9
19,0.0097,0.9538,0.0179,0.8854,52.9
20,0.0096,0.9503,0.0186,0.8715,53.0
21,0.0067,0.9675,0.0156,0.9062,53.0
22,0.0061,0.9812,0.0152,0.9132,52.9
23,0.0065,0.9709,0.0124,0.9271,52.9
24,0.0048,0.9872,0.0129,0.9340,52.9
25,0.0050,0.9812,0.0146,0.9097,53.0
26,0.0041,0.9863,0.0130,0.9236,52.9
27,0.0040,0.9846,0.0127,0.9236,53.0
28,0.0039,0.9854,0.0139,0.9132,53.0
29,0.0029,0.9949,0.0129,0.9236,53.0
30,0.0029,0.9940,0.0120,0.9306,52.9
31,0.0027,0.9940,0.0115,0.9236,52.9
32,0.0032,0.9923,0.0113,0.9340,52.9
33,0.0025,0.9957,0.0106,0.9306,52.9
34,0.0026,0.9914,0.0104,0.9410,53.0
35,0.0018,0.9966,0.0100,0.9375,53.0
36,0.0020,0.9949,0.0110,0.9306,52.9
37,0.0023,0.9923,0.0117,0.9236,52.9
38,0.0022,0.9957,0.0106,0.9236,53.1
39,0.0016,0.9983,0.0105,0.9306,53.7
40,0.0016,0.9974,0.0105,0.9306,53.1
41,0.0015,0.9974,0.0107,0.9236,53.0
42,0.0015,0.9983,0.0104,0.9375,52.9
43,0.0013,0.9991,0.0109,0.9340,52.9
44,0.0012,0.9983,0.0098,0.9444,52.9
45,0.0014,0.9983,0.0104,0.9306,52.9
46,0.0013,0.9991,0.0112,0.9306,52.9
47,0.0013,0.9991,0.0097,0.9410,52.9
48,0.0011,0.9983,0.0099,0.9375,52.9
49,0.0011,0.9991,0.0099,0.9340,53.0
50,0.0012,0.9991,0.0099,0.9340,53.0
51,0.0011,0.9983,0.0098,0.9271,52.9
52,0.0009,1.0000,0.0100,0.9236,52.9
53,0.0009,1.0000,0.0099,0.9375,52.9
54,0.0008,0.9991,0.0097,0.9306,53.0
55,0.0008,0.9983,0.0100,0.9410,52.9
56,0.0009,0.9991,0.0094,0.9340,52.9
57,0.0008,1.0000,0.0095,0.9375,52.9
58,0.0010,0.9991,0.0096,0.9340,52.9
59,0.0009,0.9991,0.0093,0.9375,53.0
60,0.0009,1.0000,0.0094,0.9375,52.9
61,0.0010,0.9991,0.0093,0.9340,52.9
62,0.0009,1.0000,0.0095,0.9375,53.0
63,0.0010,0.9991,0.0097,0.9340,53.0
