epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0664,0.4092,0.0488,0.6181,60.6
1,0.0447,0.6293,0.0405,0.6389,52.7
2,0.0383,0.6824,0.0380,0.6875,52.9
3,0.0300,0.7808,0.0398,0.6597,60.8
4,0.0247,0.8339,0.0354,0.7049,52.8
5,0.0204,0.8793,0.0324,0.7188,52.9
6,0.0296,0.7654,0.0315,0.7431,53.0
7,0.0254,0.8108,0.0323,0.7292,53.2
8,0.0236,0.8228,0.0271,0.8160,53.0
9,0.0219,0.8536,0.0249,0.8194,52.9
10,0.0193,0.8699,0.0226,0.8438,52.9
11,0.0214,0.8476,0.0215,0.8785,52.9
12,0.0173,0.8896,0.0201,0.8854,52.9
13,0.0159,0.9024,0.0220,0.8438,53.1
14,0.0164,0.8921,0.0212,0.8368,53.5
15,0.0140,0.9170,0.0243,0.8229,53.9
16,0.0138,0.9187,0.0165,0.8958,53.2
17,0.0109,0.9418,0.0186,0.8750,52.8
18,0.0106,0.9443,0.0189,0.8785,52.8
19,0.0097,0.9452,0.0205,0.8646,52.8
20,0.0101,0.9452,0.0179,0.8750,52.8
21,0.0094,0.9546,0.0177,0.8889,52.8
22,0.0080,0.9632,0.0160,0.8819,52.8
23,0.0061,0.9795,0.0137,0.9167,52.9
24,0.0059,0.9829,0.0166,0.8785,52.9
25,0.0053,0.9803,0.0156,0.9028,52.8
26,0.0055,0.9743,0.0143,0.8993,53.1
27,0.0046,0.9880,0.0132,0.9132,53.2
28,0.0045,0.9829,0.0125,0.9271,53.2
29,0.0038,0.9914,0.0117,0.9306,53.1
30,0.0033,0.9940,0.0113,0.9340,53.8
31,0.0029,0.9932,0.0111,0.9306,53.5
32,0.0027,0.9983,0.0117,0.9236,53.0
33,0.0026,0.9966,0.0127,0.9201,53.2
34,0.0023,0.9949,0.0107,0.9340,53.2
35,0.0020,0.9983,0.0118,0.9167,53.2
36,0.0022,0.9974,0.0112,0.9306,53.1
37,0.0018,0.9974,0.0100,0.9306,53.6
38,0.0018,0.9974,0.0107,0.9236,53.4
39,0.0015,0.9991,0.0092,0.9306,53.2
40,0.0014,0.9991,0.0094,0.9340,53.0
41,0.0017,0.9983,0.0110,0.9236,53.1
42,0.0015,0.9991,0.0106,0.9375,53.3
43,0.0014,0.9974,0.0092,0.9444,53.2
44,0.0013,0.9991,0.0102,0.9340,53.2
45,0.0012,0.9991,0.0096,0.9340,53.8
46,0.0012,0.9991,0.0094,0.9410,53.4
47,0.0010,0.9991,0.0092,0.9410,53.0
48,0.0011,0.9991,0.0104,0.9306,53.2
49,0.0011,0.9983,0.0096,0.9444,53.2
50,0.0012,0.9991,0.0104,0.9340,53.3
51,0.0011,0.9991,0.0098,0.9340,53.3
52,0.0010,0.9991,0.0098,0.9410,53.1
53,0.0009,0.9991,0.0100,0.9306,52.9
54,0.0011,0.9991,0.0091,0.9410,52.8
55,0.0010,0.9983,0.0093,0.9444,52.8
56,0.0009,0.9991,0.0095,0.9375,52.8
57,0.0009,0.9991,0.0094,0.9410,52.8
58,0.0009,0.9991,0.0097,0.9375,52.8
59,0.0009,0.9991,0.0099,0.9271,52.9
60,0.0009,0.9991,0.0094,0.9410,52.9
61,0.0009,0.9991,0.0095,0.9340,53.1
62,0.0008,0.9991,0.0099,0.9340,53.0
63,0.0009,1.0000,0.0095,0.9340,53.2
