epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0757,0.2945,0.0616,0.4410,60.8
1,0.0578,0.5060,0.0534,0.5938,52.8
2,0.0498,0.5856,0.0483,0.5938,53.0
3,0.0445,0.6276,0.0433,0.6701,53.1
4,0.0400,0.6772,0.0481,0.6667,53.1
5,0.0370,0.7192,0.0423,0.6562,53.0
6,0.0347,0.7474,0.0344,0.7500,52.9
7,0.0314,0.7611,0.0319,0.7674,53.3
8,0.0303,0.7628,0.0340,0.7118,53.1
9,0.0279,0.7851,0.0324,0.7535,53.4
10,0.0270,0.7920,0.0349,0.7153,53.3
11,0.0252,0.8099,0.0313,0.7639,53.3
12,0.0238,0.8408,0.0294,0.7604,53.1
13,0.0232,0.8356,0.0277,0.8125,53.1
14,0.0224,0.8442,0.0248,0.8194,53.3
15,0.0211,0.8562,0.0427,0.6562,53.3
16,0.0212,0.8587,0.0250,0.7917,53.3
17,0.0197,0.8741,0.0230,0.8403,53.2
18,0.0186,0.8844,0.0271,0.7986,53.2
19,0.0172,0.8990,0.0236,0.8299,53.2
20,0.0168,0.9007,0.0237,0.8333,53.3
21,0.0161,0.9075,0.0238,0.8368,53.0
22,0.0154,0.9152,0.0204,0.8611,53.2
23,0.0146,0.9161,0.0225,0.8368,53.2
24,0.0139,0.9229,0.0269,0.8056,53.2
25,0.0133,0.9375,0.0200,0.8750,53.1
26,0.0122,0.9401,0.0230,0.8125,53.1
27,0.0116,0.9486,0.0280,0.7917,53.0
28,0.0116,0.9469,0.0257,0.8056,53.2
29,0.0112,0.9495,0.0197,0.8681,53.1
30,0.0100,0.9615,0.0204,0.8611,53.2
31,0.0097,0.9623,0.0173,0.8889,53.2
32,0.0091,0.9640,0.0231,0.8333,53.2
33,0.0104,0.9486,0.0213,0.8715,53.0
34,0.0078,0.9786,0.0175,0.8993,53.2
35,0.0071,0.9837,0.0190,0.8715,53.1
36,0.0083,0.9786,0.0187,0.8646,53.2
37,0.0071,0.9846,0.0186,0.8611,53.3
38,0.0073,0.9812,0.0185,0.8681,53.2
39,0.0065,0.9769,0.0189,0.8889,53.6
40,0.0059,0.9863,0.0177,0.8785,53.0
41,0.0059,0.9846,0.0180,0.8681,53.2
42,0.0054,0.9940,0.0189,0.8681,53.2
43,0.0056,0.9880,0.0191,0.8611,53.2
44,0.0051,0.9923,0.0186,0.8507,53.2
45,0.0052,0.9932,0.0177,0.8819,53.3
46,0.0050,0.9897,0.0177,0.8681,53.2
47,0.0047,0.9940,0.0183,0.8750,53.3
48,0.0045,0.9966,0.0175,0.8785,53.4
49,0.0044,0.9940,0.0170,0.8854,53.1
50,0.0040,0.9974,0.0172,0.8854,53.2
51,0.0040,0.9983,0.0176,0.8924,53.3
52,0.0040,0.9974,0.0175,0.8889,53.3
53,0.0039,0.9957,0.0169,0.8958,53.4
54,0.0038,0.9983,0.0170,0.8958,53.2
55,0.0037,0.9991,0.0169,0.9132,53.3
56,0.0037,0.9974,0.0174,0.8889,53.4
57,0.0040,0.9957,0.0170,0.8958,53.2
58,0.0036,0.9991,0.0168,0.8889,53.0
59,0.0038,0.9983,0.0166,0.8993,53.3
60,0.0040,0.9991,0.0174,0.8924,53.2
61,0.0038,0.9974,0.0169,0.8854,53.3
62,0.0039,0.9983,0.0165,0.8993,53.4
63,0.0040,0.9974,0.0167,0.8924,53.1
