epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0753,0.2911,0.0622,0.4375,61.3
1,0.0565,0.5051,0.0509,0.5903,52.8
2,0.0475,0.6070,0.0463,0.6354,52.8
3,0.0415,0.6695,0.0413,0.7153,52.8
4,0.0387,0.6935,0.0417,0.6667,52.9
5,0.0361,0.7012,0.0521,0.5694,52.9
6,0.0332,0.7397,0.0346,0.7292,52.9
7,0.0311,0.7551,0.0359,0.6979,52.8
8,0.0283,0.7920,0.0368,0.7083,52.9
9,0.0265,0.7825,0.0318,0.7257,52.9
10,0.0251,0.8134,0.0300,0.7431,52.9
11,0.0263,0.7988,0.0308,0.7569,52.8
12,0.0232,0.8348,0.0281,0.8090,52.8
13,0.0233,0.8245,0.0273,0.7743,52.9
14,0.0223,0.8313,0.0311,0.7396,52.8
15,0.0215,0.8459,0.0259,0.8056,52.9
16,0.0199,0.8604,0.0279,0.7847,52.9
17,0.0189,0.8793,0.0255,0.7882,52.9
18,0.0185,0.8793,0.0247,0.8160,52.8
19,0.0173,0.8964,0.0231,0.8160,52.8
20,0.0167,0.8955,0.0249,0.7986,52.9
21,0.0157,0.9024,0.0211,0.8611,52.9
22,0.0148,0.9127,0.0237,0.8194,52.8
23,0.0138,0.9212,0.0240,0.8229,52.9
24,0.0135,0.9289,0.0201,0.8646,52.8
25,0.0128,0.9281,0.0218,0.8438,52.9
26,0.0128,0.9298,0.0187,0.8785,52.9
27,0.0122,0.9366,0.0184,0.8819,52.8
28,0.0103,0.9538,0.0201,0.8542,52.9
29,0.0098,0.9649,0.0192,0.8715,52.9
30,0.0092,0.9726,0.0182,0.8854,52.9
31,0.0093,0.9615,0.0210,0.8576,52.8
32,0.0089,0.9700,0.0199,0.8715,52.9
33,0.0083,0.9700,0.0161,0.8854,52.9
34,0.0073,0.9846,0.0179,0.8785,52.9
35,0.0070,0.9854,0.0163,0.8958,52.9
36,0.0064,0.9829,0.0199,0.8611,52.9
37,0.0063,0.9854,0.0157,0.9097,52.9
38,0.0054,0.9932,0.0174,0.8750,52.9
39,0.0052,0.9914,0.0188,0.8507,53.0
40,0.0054,0.9906,0.0145,0.9132,52.9
41,0.0045,0.9966,0.0147,0.8993,52.9
42,0.0045,0.9957,0.0151,0.8993,52.9
43,0.0043,0.9974,0.0152,0.9062,52.9
44,0.0043,0.9957,0.0148,0.9028,52.9
45,0.0042,0.9957,0.0148,0.8958,52.9
46,0.0041,0.9966,0.0160,0.8889,52.9
47,0.0041,0.9966,0.0145,0.9062,52.9
48,0.0039,0.9957,0.0149,0.9062,52.9
49,0.0038,0.9991,0.0155,0.8924,52.8
50,0.0038,0.9957,0.0146,0.9062,52.9
51,0.0037,0.9974,0.0147,0.8993,52.9
52,0.0036,0.9983,0.0140,0.9062,52.9
53,0.0035,0.9991,0.0143,0.9028,52.9
54,0.0032,0.9983,0.0150,0.8993,53.2
55,0.0035,0.9974,0.0147,0.8993,52.9
56,0.0032,0.9991,0.0145,0.9062,52.8
57,0.0032,0.9991,0.0140,0.9062,52.9
58,0.0032,0.9991,0.0141,0.9028,52.9
59,0.0033,0.9983,0.0141,0.9062,52.9
60,0.0033,0.9974,0.0143,0.9062,52.9
61,0.0032,0.9974,0.0145,0.9028,52.9
62,0.0031,0.9991,0.0139,0.9062,52.9
63,0.0033,0.9974,0.0138,0.9062,52.9
