epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0818,0.2868,0.0927,0.2440,404.9
1,0.0710,0.4304,0.0643,0.5040,394.3
2,0.0643,0.4982,0.0623,0.5150,394.6
3,0.0594,0.5465,0.0575,0.5570,397.9
4,0.0550,0.5897,0.0531,0.6140,397.0
5,0.0517,0.6219,0.0527,0.6160,402.2
6,0.0487,0.6518,0.0520,0.6200,394.4
7,0.0463,0.6708,0.0496,0.6400,394.4
8,0.0435,0.6941,0.0491,0.6470,395.6
9,0.0411,0.7176,0.0483,0.6570,400.4
10,0.0397,0.7246,0.0459,0.6630,395.9
11,0.0376,0.7490,0.0462,0.6720,394.5
12,0.0364,0.7542,0.0473,0.6510,394.5
13,0.0350,0.7694,0.0452,0.6760,394.5
14,0.0332,0.7834,0.0450,0.6680,394.6
15,0.0316,0.7948,0.0456,0.6760,394.8
16,0.0314,0.7958,0.0444,0.6850,394.6
17,0.0302,0.8088,0.0453,0.6740,395.8
18,0.0288,0.8192,0.0436,0.6900,394.8
19,0.0273,0.8297,0.0439,0.6870,394.7
20,0.0267,0.8399,0.0475,0.6700,394.7
21,0.0260,0.8396,0.0443,0.6760,394.7
22,0.0252,0.8521,0.0450,0.6870,394.7
23,0.0240,0.8605,0.0444,0.6950,394.7
24,0.0234,0.8635,0.0426,0.7050,394.6
25,0.0223,0.8701,0.0438,0.6930,394.7
26,0.0216,0.8792,0.0443,0.6780,394.7
27,0.0212,0.8845,0.0449,0.6810,394.5
28,0.0203,0.8918,0.0445,0.6960,394.5
29,0.0200,0.8955,0.0419,0.7030,394.7
30,0.0196,0.8948,0.0436,0.6830,394.7
31,0.0185,0.9040,0.0420,0.7000,394.8
32,0.0182,0.9099,0.0435,0.6930,394.7
33,0.0180,0.9073,0.0426,0.6980,394.9
34,0.0171,0.9139,0.0418,0.6980,395.0
35,0.0170,0.9187,0.0438,0.7040,396.8
36,0.0167,0.9192,0.0423,0.6990,394.8
37,0.0163,0.9188,0.0447,0.6760,394.8
38,0.0160,0.9209,0.0425,0.7070,394.8
39,0.0155,0.9263,0.0414,0.7090,395.0
40,0.0149,0.9313,0.0418,0.7130,395.0
41,0.0147,0.9343,0.0416,0.7050,394.9
42,0.0140,0.9425,0.0420,0.7080,394.8
43,0.0139,0.9392,0.0423,0.7070,394.7
44,0.0136,0.9419,0.0409,0.7100,394.7
45,0.0135,0.9428,0.0408,0.7200,395.0
46,0.0135,0.9445,0.0404,0.7220,396.4
47,0.0130,0.9488,0.0415,0.7140,396.8
48,0.0128,0.9482,0.0408,0.7170,394.5
49,0.0126,0.9501,0.0415,0.7070,394.4
50,0.0125,0.9501,0.0402,0.7130,394.7
51,0.0122,0.9510,0.0406,0.7180,394.5
52,0.0124,0.9507,0.0407,0.7110,394.5
53,0.0121,0.9528,0.0402,0.7230,394.6
54,0.0120,0.9542,0.0407,0.7230,394.6
55,0.0119,0.9552,0.0400,0.7190,394.3
56,0.0116,0.9575,0.0400,0.7070,394.4
57,0.0120,0.9526,0.0406,0.7100,394.4
58,0.0117,0.9596,0.0406,0.7230,394.3
59,0.0116,0.9575,0.0401,0.7190,394.5
60,0.0114,0.9581,0.0399,0.7190,394.4
61,0.0115,0.9593,0.0410,0.7150,394.5
62,0.0118,0.9550,0.0406,0.7200,394.5
63,0.0115,0.9585,0.0397,0.7210,394.4
