epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0805,0.3097,0.0755,0.3980,389.5
1,0.0672,0.4775,0.0683,0.4800,110.0
2,0.0595,0.5557,0.0609,0.5460,109.9
3,0.0535,0.6147,0.0553,0.6130,110.1
4,0.0491,0.6627,0.0531,0.6250,110.9
5,0.0457,0.6931,0.0507,0.6520,110.0
6,0.0422,0.7282,0.0495,0.6540,109.9
7,0.0392,0.7583,0.0507,0.6420,110.0
8,0.0367,0.7762,0.0472,0.6710,110.2
9,0.0342,0.7999,0.0469,0.6870,109.8
10,0.0315,0.8290,0.0473,0.6760,110.0
11,0.0294,0.8480,0.0453,0.7060,110.1
12,0.0270,0.8707,0.0461,0.6940,110.3
13,0.0250,0.8883,0.0457,0.6950,110.0
14,0.0233,0.9052,0.0459,0.6910,110.0
15,0.0212,0.9171,0.0455,0.7060,110.0
16,0.0198,0.9323,0.0454,0.7120,109.6
17,0.0182,0.9417,0.0476,0.6960,110.2
18,0.0170,0.9495,0.0468,0.6930,111.0
19,0.0159,0.9583,0.0450,0.6980,110.0
20,0.0151,0.9636,0.0462,0.6920,121.0
21,0.0139,0.9691,0.0458,0.6970,110.4
22,0.0128,0.9744,0.0456,0.7040,110.0
23,0.0121,0.9791,0.0450,0.7120,110.0
24,0.0113,0.9813,0.0445,0.7240,109.8
25,0.0109,0.9852,0.0443,0.7180,109.7
26,0.0102,0.9873,0.0453,0.7120,109.7
27,0.0097,0.9875,0.0456,0.7100,109.8
28,0.0091,0.9900,0.0450,0.7080,109.9
29,0.0087,0.9913,0.0451,0.7210,110.0
30,0.0082,0.9927,0.0438,0.7240,110.0
31,0.0078,0.9931,0.0453,0.7070,109.9
32,0.0074,0.9933,0.0440,0.7230,109.7
33,0.0071,0.9942,0.0443,0.7160,109.9
34,0.0068,0.9947,0.0437,0.7290,109.8
35,0.0066,0.9947,0.0445,0.7280,110.0
36,0.0062,0.9953,0.0444,0.7200,110.0
37,0.0060,0.9964,0.0441,0.7190,109.7
38,0.0059,0.9961,0.0444,0.7270,109.9
39,0.0056,0.9968,0.0444,0.7220,109.9
40,0.0055,0.9970,0.0440,0.7300,109.8
41,0.0052,0.9973,0.0446,0.7210,110.0
42,0.0050,0.9973,0.0441,0.7290,109.9
43,0.0049,0.9974,0.0447,0.7250,110.0
44,0.0047,0.9972,0.0443,0.7190,110.0
45,0.0045,0.9978,0.0445,0.7220,109.7
46,0.0044,0.9977,0.0442,0.7300,109.8
47,0.0043,0.9977,0.0446,0.7310,109.8
48,0.0041,0.9976,0.0446,0.7290,109.9
49,0.0041,0.9977,0.0448,0.7270,109.8
50,0.0039,0.9978,0.0447,0.7280,109.7
51,0.0039,0.9979,0.0447,0.7230,109.9
52,0.0039,0.9978,0.0446,0.7230,109.8
53,0.0038,0.9979,0.0445,0.7330,110.0
54,0.0037,0.9980,0.0448,0.7300,109.8
55,0.0037,0.9980,0.0446,0.7270,110.1
56,0.0036,0.9981,0.0448,0.7310,109.8
57,0.0036,0.9981,0.0448,0.7270,110.0
58,0.0036,0.9983,0.0447,0.7280,111.3
59,0.0035,0.9981,0.0448,0.7330,111.2
60,0.0036,0.9982,0.0448,0.7320,109.8
61,0.0036,0.9981,0.0448,0.7270,109.9
62,0.0035,0.9982,0.0447,0.7340,109.8
63,0.0035,0.9981,0.0447,0.7290,109.9
