epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0662,0.4024,0.0501,0.5625,71.0
1,0.0466,0.6027,0.0471,0.6007,54.2
2,0.0386,0.6712,0.0367,0.6944,54.2
3,0.0374,0.6704,0.0357,0.6944,54.2
4,0.0340,0.6995,0.0356,0.7257,54.2
5,0.0309,0.7346,0.0358,0.6875,54.2
6,0.0281,0.7568,0.0411,0.6667,54.6
7,0.0278,0.7611,0.0341,0.7465,54.2
8,0.0245,0.8057,0.0325,0.7465,54.3
9,0.0234,0.8091,0.0307,0.7500,54.2
10,0.0229,0.8151,0.0310,0.7500,54.4
11,0.0211,0.8382,0.0299,0.7708,54.3
12,0.0195,0.8690,0.0363,0.7188,54.2
13,0.0177,0.8784,0.0257,0.8333,54.2
14,0.0155,0.9144,0.0275,0.7951,54.2
15,0.0145,0.9178,0.0177,0.9062,54.2
16,0.0127,0.9229,0.0184,0.8924,54.2
17,0.0097,0.9529,0.0162,0.9236,54.6
18,0.0092,0.9563,0.0209,0.8472,54.2
19,0.0081,0.9666,0.0169,0.9028,54.3
20,0.0071,0.9675,0.0155,0.9167,54.2
21,0.0065,0.9726,0.0154,0.9097,54.2
22,0.0060,0.9769,0.0148,0.9306,54.7
23,0.0050,0.9820,0.0156,0.8924,54.2
24,0.0046,0.9837,0.0127,0.9201,54.4
25,0.0039,0.9897,0.0141,0.9236,54.2
26,0.0047,0.9846,0.0133,0.9306,54.3
27,0.0042,0.9820,0.0144,0.9062,54.3
28,0.0034,0.9923,0.0121,0.9236,54.3
29,0.0031,0.9923,0.0124,0.9167,54.3
30,0.0025,0.9949,0.0114,0.9306,54.3
31,0.0030,0.9949,0.0123,0.9306,54.2
32,0.0025,0.9940,0.0127,0.9340,54.3
33,0.0026,0.9940,0.0120,0.9306,54.3
34,0.0023,0.9932,0.0145,0.8993,54.4
35,0.0026,0.9957,0.0137,0.9167,54.1
36,0.0027,0.9906,0.0124,0.9201,54.3
37,0.0021,0.9940,0.0119,0.9236,54.2
38,0.0019,0.9957,0.0134,0.9132,54.2
39,0.0017,0.9983,0.0109,0.9306,54.2
40,0.0015,0.9991,0.0113,0.9236,54.2
41,0.0017,0.9974,0.0124,0.9132,54.2
42,0.0016,0.9957,0.0117,0.9271,54.3
43,0.0014,0.9991,0.0114,0.9236,54.4
44,0.0014,0.9991,0.0105,0.9410,54.4
45,0.0014,0.9983,0.0116,0.9306,54.1
46,0.0012,0.9991,0.0108,0.9271,54.2
47,0.0012,0.9991,0.0105,0.9340,54.3
48,0.0013,0.9991,0.0110,0.9236,54.3
49,0.0013,0.9983,0.0107,0.9340,54.2
50,0.0012,0.9983,0.0106,0.9306,54.3
51,0.0012,0.9983,0.0101,0.9375,54.2
52,0.0011,0.9983,0.0108,0.9271,54.2
53,0.0010,0.9991,0.0103,0.9306,54.5
54,0.0010,0.9991,0.0110,0.9271,54.4
55,0.0010,0.9991,0.0106,0.9340,54.4
56,0.0010,0.9991,0.0109,0.9375,54.3
57,0.0009,0.9991,0.0105,0.9271,54.2
58,0.0010,0.9991,0.0110,0.9375,54.1
59,0.0009,0.9991,0.0104,0.9375,54.2
60,0.0009,0.9991,0.0108,0.9306,54.1
61,0.0009,0.9991,0.0101,0.9375,54.2
62,0.0009,1.0000,0.0108,0.9306,54.2
63,0.0009,0.9991,0.0104,0.9340,54.2
