epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0850,0.2012,0.0791,0.3333,61.2
1,0.0699,0.3399,0.0706,0.3264,52.7
2,0.0632,0.4375,0.0636,0.4097,52.8
3,0.0585,0.5137,0.0655,0.5208,52.7
4,0.0546,0.5300,0.0558,0.5312,52.8
5,0.0509,0.5625,0.0547,0.5417,52.8
6,0.0478,0.6087,0.0516,0.6667,52.8
7,0.0446,0.6541,0.0467,0.6458,52.8
8,0.0405,0.7226,0.0463,0.7083,52.8
9,0.0394,0.7260,0.0464,0.6944,52.9
10,0.0358,0.7517,0.0400,0.7083,52.8
11,0.0344,0.7560,0.0416,0.7014,53.0
12,0.0335,0.7637,0.0403,0.6597,53.1
13,0.0317,0.7894,0.0348,0.7188,53.3
14,0.0308,0.7817,0.0327,0.7639,53.1
15,0.0286,0.8039,0.0398,0.6806,53.1
16,0.0269,0.8193,0.0328,0.7639,53.1
17,0.0267,0.8142,0.0319,0.7708,53.1
18,0.0261,0.8219,0.0366,0.7049,53.1
19,0.0252,0.8373,0.0292,0.7847,53.1
20,0.0242,0.8365,0.0313,0.7743,53.0
21,0.0236,0.8442,0.0312,0.7674,53.1
22,0.0235,0.8433,0.0300,0.7778,52.8
23,0.0230,0.8527,0.0304,0.7812,53.6
24,0.0226,0.8613,0.0320,0.7743,53.0
25,0.0230,0.8450,0.0299,0.7812,52.9
26,0.0215,0.8810,0.0299,0.7778,52.9
27,0.0213,0.8827,0.0288,0.8021,52.8
28,0.0205,0.8853,0.0295,0.7917,52.9
29,0.0201,0.8844,0.0275,0.8056,52.9
30,0.0195,0.8938,0.0285,0.7951,52.8
31,0.0197,0.8964,0.0295,0.7917,52.8
32,0.0191,0.9084,0.0287,0.8056,52.8
33,0.0181,0.9238,0.0322,0.7708,52.8
34,0.0186,0.9152,0.0274,0.8368,52.9
35,0.0170,0.9324,0.0372,0.7188,52.8
36,0.0172,0.9324,0.0303,0.7674,52.9
37,0.0166,0.9409,0.0257,0.8472,52.7
38,0.0162,0.9435,0.0286,0.8194,52.8
39,0.0155,0.9538,0.0268,0.8299,52.8
40,0.0160,0.9452,0.0279,0.8160,52.7
41,0.0149,0.9640,0.0260,0.8125,52.8
42,0.0147,0.9598,0.0268,0.8264,52.8
43,0.0144,0.9623,0.0268,0.8229,52.8
44,0.0143,0.9606,0.0272,0.8264,52.9
45,0.0130,0.9777,0.0271,0.8264,53.0
46,0.0133,0.9752,0.0266,0.8507,52.8
47,0.0127,0.9812,0.0266,0.8368,53.3
48,0.0125,0.9837,0.0267,0.8299,53.2
49,0.0126,0.9829,0.0255,0.8438,52.9
50,0.0125,0.9803,0.0266,0.8264,53.1
51,0.0122,0.9812,0.0268,0.8160,53.1
52,0.0117,0.9829,0.0260,0.8403,52.9
53,0.0115,0.9880,0.0265,0.8403,52.9
54,0.0115,0.9897,0.0256,0.8438,53.3
55,0.0117,0.9872,0.0262,0.8299,53.4
56,0.0110,0.9914,0.0246,0.8472,52.8
57,0.0111,0.9914,0.0258,0.8611,53.0
58,0.0115,0.9889,0.0251,0.8507,53.1
59,0.0111,0.9897,0.0245,0.8438,53.2
60,0.0109,0.9906,0.0252,0.8472,52.8
61,0.0111,0.9897,0.0256,0.8368,53.0
62,0.0106,0.9889,0.0253,0.8403,52.8
63,0.0111,0.9906,0.0245,0.8438,53.0
