epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0847,0.2063,0.0792,0.3368,61.2
1,0.0698,0.3330,0.0662,0.3715,52.8
2,0.0633,0.4375,0.0603,0.4618,52.8
3,0.0573,0.5026,0.0548,0.5660,52.9
4,0.0533,0.5574,0.0513,0.5764,53.1
5,0.0494,0.5865,0.0504,0.5694,53.0
6,0.0468,0.6182,0.0458,0.6389,53.0
7,0.0437,0.6815,0.0449,0.6840,53.1
8,0.0407,0.7055,0.0408,0.6701,53.0
9,0.0374,0.7363,0.0400,0.7257,53.0
10,0.0352,0.7380,0.0384,0.7118,53.0
11,0.0332,0.7757,0.0347,0.7569,53.0
12,0.0326,0.7774,0.0342,0.7535,53.1
13,0.0305,0.7817,0.0334,0.7396,53.1
14,0.0286,0.7971,0.0343,0.7222,53.1
15,0.0283,0.8022,0.0307,0.7639,53.1
16,0.0274,0.8057,0.0340,0.7535,53.2
17,0.0264,0.8288,0.0336,0.7535,53.2
18,0.0256,0.8305,0.0314,0.7674,53.2
19,0.0250,0.8253,0.0298,0.7812,53.1
20,0.0241,0.8399,0.0322,0.7812,53.1
21,0.0230,0.8570,0.0305,0.7708,53.1
22,0.0240,0.8296,0.0300,0.7917,53.1
23,0.0233,0.8485,0.0303,0.7847,53.2
24,0.0229,0.8510,0.0295,0.7917,53.5
25,0.0214,0.8690,0.0291,0.8125,53.2
26,0.0220,0.8604,0.0295,0.8125,53.3
27,0.0213,0.8741,0.0299,0.7847,53.0
28,0.0214,0.8690,0.0341,0.7465,53.0
29,0.0203,0.8990,0.0278,0.7986,52.9
30,0.0203,0.8853,0.0278,0.7882,53.0
31,0.0197,0.9050,0.0291,0.8021,53.0
32,0.0194,0.9007,0.0265,0.8264,53.1
33,0.0182,0.9247,0.0286,0.8229,53.6
34,0.0179,0.9247,0.0257,0.8299,53.4
35,0.0178,0.9127,0.0255,0.8403,53.3
36,0.0169,0.9298,0.0288,0.8264,53.2
37,0.0166,0.9358,0.0268,0.8264,53.2
38,0.0161,0.9495,0.0266,0.8229,53.3
39,0.0163,0.9452,0.0271,0.8229,53.0
40,0.0158,0.9478,0.0259,0.8576,53.0
41,0.0153,0.9572,0.0270,0.8264,53.1
42,0.0154,0.9546,0.0278,0.8194,53.1
43,0.0144,0.9640,0.0260,0.8542,53.1
44,0.0143,0.9700,0.0248,0.8229,53.1
45,0.0141,0.9666,0.0272,0.8333,53.1
46,0.0134,0.9658,0.0260,0.8542,53.0
47,0.0133,0.9709,0.0262,0.8368,53.0
48,0.0130,0.9777,0.0266,0.8264,53.0
49,0.0126,0.9769,0.0252,0.8472,53.2
50,0.0128,0.9786,0.0249,0.8299,53.0
51,0.0122,0.9812,0.0245,0.8646,53.1
52,0.0123,0.9760,0.0257,0.8368,53.1
53,0.0122,0.9829,0.0257,0.8333,53.1
54,0.0119,0.9854,0.0250,0.8542,53.3
55,0.0120,0.9846,0.0246,0.8646,53.1
56,0.0119,0.9846,0.0256,0.8333,53.1
57,0.0116,0.9837,0.0252,0.8438,53.1
58,0.0116,0.9829,0.0252,0.8368,53.0
59,0.0116,0.9837,0.0254,0.8333,53.1
60,0.0118,0.9846,0.0248,0.8611,53.0
61,0.0115,0.9872,0.0252,0.8403,53.1
62,0.0114,0.9906,0.0251,0.8472,53.1
63,0.0117,0.9829,0.0245,0.8542,53.1
